formatname,minutes,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,play3PA,play3PM,playFTA,playFTM,playORB,playDRB,playTRB,possOnCourt,possUsed,games
LaMarcusAldridge,2508.61666668,1735.0,152.0,112.0,43.0,89.0,161.0,1347.0,687.0,92.0,27.0,399.0,334.0,245.0,389.0,634.0,4948.2894931502615,1454.6180417293106,75
LanceStephenson,1850.0666666429993,757.0,235.0,131.0,48.0,16.0,177.0,709.0,303.0,232.0,67.0,127.0,84.0,62.0,362.0,424.0,3737.214198386408,799.8890722955639,82
LanceThomas,1353.0666666239997,298.0,44.0,41.0,30.0,14.0,134.0,267.0,102.0,124.0,50.0,53.0,44.0,44.0,131.0,175.0,2735.5653392904783,297.30912943217174,73
LangstonGalloway,863.4499999820001,360.0,58.0,18.0,36.0,5.0,39.0,339.0,126.0,217.0,75.0,41.0,33.0,13.0,79.0,92.0,1736.874129342102,338.61382076847445,58
LarryDrew,70.04999999999998,17.0,10.0,3.0,0.0,0.0,6.0,24.0,7.0,9.0,3.0,0.0,0.0,3.0,0.0,3.0,136.51027156058734,23.67124300007778,10
LarryNance,1420.5499999969995,573.0,82.0,51.0,89.0,39.0,172.0,414.0,240.0,12.0,2.0,137.0,91.0,161.0,291.0,452.0,2973.305558436198,469.6306778178787,66
LauriMarkkanen,2020.0666666600005,1033.0,79.0,83.0,40.0,41.0,103.0,861.0,374.0,400.0,145.0,166.0,140.0,79.0,429.0,508.0,4175.344040296575,921.8040307953571,68
LeBronJames,3025.6666666700003,2251.0,745.0,348.0,117.0,71.0,135.0,1579.0,857.0,406.0,149.0,531.0,388.0,97.0,615.0,712.0,6246.43317719445,1975.7584436811007,82
LondonPerrantes,65.533333339,7.0,5.0,1.0,2.0,1.0,6.0,13.0,2.0,3.0,0.0,5.0,3.0,1.0,3.0,4.0,129.4362403235117,13.990001119534526,14
LonzoBall,1780.06666666,528.0,376.0,136.0,87.0,42.0,117.0,564.0,203.0,295.0,90.0,71.0,32.0,68.0,291.0,359.0,3826.228618422252,656.2050256916779,52
LorenzoBrown,138.549999997,32.0,13.0,3.0,6.0,0.0,7.0,34.0,14.0,12.0,2.0,2.0,2.0,1.0,13.0,14.0,272.2742412435187,34.26632679150988,14
LouWilliams,2588.84999997,1782.0,417.0,235.0,85.0,20.0,106.0,1337.0,582.0,518.0,186.0,491.0,432.0,40.0,158.0,198.0,5469.770140252036,1600.629271592642,79
LucRichardMbahAMoute,1564.3333333669998,460.0,55.0,69.0,72.0,26.0,100.0,345.0,166.0,173.0,63.0,95.0,65.0,22.0,164.0,186.0,3192.4514772520697,419.161640433756,61
LucasNogueira,417.6999999840001,122.0,22.0,16.0,23.0,43.0,49.0,80.0,49.0,19.0,5.0,28.0,19.0,18.0,69.0,87.0,848.9704884063239,101.10291360739312,49
LuisMontero,7.949999999999999,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,15.28587500017978,2.7255107003427144,2
LukeBabbitt,714.8000000029999,259.0,31.0,19.0,9.0,7.0,54.0,215.0,91.0,156.0,60.0,22.0,17.0,7.0,89.0,96.0,1471.0955462571428,221.2098104805268,50
LukeKennard,1462.8166666570003,558.0,124.0,69.0,44.0,12.0,86.0,465.0,206.0,195.0,81.0,76.0,65.0,20.0,155.0,175.0,2940.3392871686733,513.7818475205185,73
LukeKornet,326.48333333899996,134.0,26.0,12.0,5.0,16.0,28.0,125.0,49.0,79.0,28.0,11.0,8.0,11.0,53.0,64.0,674.6405084494303,129.5060302848684,20
LuolDeng,13.13333333,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.175474992341247,2.65544179932603,1
MalachiRichardson,323.333333333,89.0,13.0,10.0,10.0,1.0,27.0,90.0,30.0,40.0,12.0,22.0,17.0,5.0,29.0,34.0,650.0757656229822,99.04790845743457,26
MalcolmBrogdon,1436.00000001,625.0,152.0,66.0,41.0,13.0,128.0,503.0,244.0,161.0,62.0,85.0,75.0,23.0,133.0,156.0,2898.3570240781996,560.166178566006,48
