index,cluster,formatname,Year
627,1,JohnWallace,1997
628,1,RasheedWallace,1997
629,1,ChrisWebber,1997
630,1,BuckWilliams,1997
631,1,KevinWillis,1997
632,1,JoeWolf,1997
633,1,LorenzenWright,1997
634,1,SharoneWright,1997
635,1,GregAnderson,1998
636,1,CharlesBarkley,1998
637,1,TonyBattie,1998
638,1,MarioBennett,1998
639,1,PJBrown,1998
640,1,JasonCaffey,1998
641,1,DerrickColeman,1998
642,1,AntonioDavis,1998
643,1,TerryDavis,1998
644,1,AndrewDeClercq,1998
645,1,BisonDele,1998
646,1,VladeDivac,1998
647,1,JamieFeick,1998
648,1,BrianGrant,1998
649,1,DarvinHam,1998
650,1,TomHammonds,1998
651,1,OthellaHarrington,1998
652,1,TyroneHill,1998
653,1,ShawnKemp,1998
654,1,TravisKnight,1998
655,1,AndrewLang,1998
656,1,KarlMalone,1998
657,1,TonyMassenburg,1998
658,1,AntonioMcDyess,1998
659,1,OliverMiller,1998
660,1,HakeemOlajuwon,1998
661,1,BoOutlaw,1998
662,1,OldenPolynice,1998
663,1,VitalyPotapenko,1998
664,1,BryantReeves,1998
665,1,DonReid,1998
666,1,ArvydasSabonis,1998
667,1,RonySeikaly,1998
668,1,MichaelSmith,1998
669,1,RikSmits,1998
670,1,MarkStrickland,1998
671,1,DerekStrong,1998
672,1,ZanTabak,1998
673,1,DavidVaughn,1998
674,1,AaronWilliams,1998
675,1,BuckWilliams,1998
676,1,JeromeWilliams,1998
677,1,ScottWilliams,1998
678,1,KevinWillis,1998
679,1,ThurlBailey,1999
680,1,CharlesBarkley,1999
681,1,PJBrown,1999
682,1,DerrickColeman,1999
683,1,ErickDampier,1999
684,1,AntonioDavis,1999
685,1,AndrewDeClercq,1999
686,1,BisonDele,1999
687,1,VladeDivac,1999
688,1,ToddFuller,1999
689,1,LawrenceFunderburke,1999
690,1,KevinGarnett,1999
691,1,DeanGarrett,1999
692,1,MattGeiger,1999
693,1,HoraceGrant,1999
694,1,TyroneHill,1999
695,1,AdamKeefe,1999
696,1,ShawnKemp,1999
697,1,LucLongley,1999
698,1,TonyMassenburg,1999
699,1,AntonioMcDyess,1999
700,1,TracyMcGrady,1999
701,1,BradMiller,1999
702,1,HakeemOlajuwon,1999
703,1,BoOutlaw,1999
704,1,CherokeeParks,1999
705,1,VitalyPotapenko,1999
706,1,DonReid,1999
707,1,MalikRose,1999
708,1,JoeSmith,1999
709,1,RikSmits,1999
710,1,MarkStrickland,1999
711,1,JohnThomas,1999
712,1,RobertTraylor,1999
713,1,LoyVaught,1999
714,1,SamakiWalker,1999
715,1,JohnWallace,1999
716,1,ChrisWebber,1999
717,1,JeromeWilliams,1999
718,1,KevinWillis,1999
719,1,TonyBattie,2000
720,1,EltonBrand,2000
721,1,KevinGarnett,2000
722,1,ShawnMarion,2000
723,1,AntonioMcDyess,2000
724,1,JoeSmith,2000
725,1,KurtThomas,2000
726,1,CorieBlount,2001
727,1,CalBowdler,2001
728,1,EltonBrand,2001
729,1,PJBrown,2001
730,1,JasonCaffey,2001
731,1,EldenCampbell,2001
732,1,DuaneCauswell,2001
733,1,DerrickColeman,2001
734,1,ErickDampier,2001
735,1,AndrewDeClercq,2001
736,1,VladeDivac,2001
737,1,LaPhonsoEllis,2001
738,1,PatrickEwing,2001
739,1,GregFoster,2001
740,1,JeffFoster,2001
741,1,LawrenceFunderburke,2001
742,1,KevinGarnett,2001
743,1,BrianGrant,2001
744,1,HoraceGrant,2001
745,1,DarvinHam,2001
746,1,OthellaHarrington,2001
747,1,TyroneHill,2001
748,1,MarcJackson,2001
749,1,MarkMadsen,2001
750,1,ShawnMarion,2001
751,1,DonyellMarshall,2001
752,1,KenyonMartin,2001
753,1,ChrisMihm,2001
754,1,DariusMiles,2001
755,1,BradMiller,2001
756,1,RashoNesterovic,2001
757,1,HakeemOlajuwon,2001
758,1,BoOutlaw,2001
759,1,CherokeeParks,2001
760,1,VitalyPotapenko,2001
761,1,BryantReeves,2001
762,1,SeanRooks,2001
763,1,ArvydasSabonis,2001
764,1,DanielSantiago,2001
765,1,BrianSkinner,2001
766,1,ReggieSlater,2001
767,1,StromileSwift,2001
768,1,DraganTarlac,2001
769,1,KennyThomas,2001
770,1,KurtThomas,2001
771,1,OtisThorpe,2001
772,1,LoyVaught,2001
773,1,SamakiWalker,2001
774,1,AaronWilliams,2001
775,1,JeromeWilliams,2001
